dataset,earliness_factor,entropy_factor,accuracy,earliness
ECGFiveDays,0.8,0.0,0.9130434782608695,0.43800321221351624
InlineSkate,0.6,0.1,0.3,0.25450822710990906
ECG200,0.9,0.1,0.92,0.5704210996627808
Yoga,0.6,0.0,0.54,0.00010196078073931858
MoteStrain,0.6,0.0,0.5,0.0
CBF,0.8,0.01,1.0,1.0
UWaveGestureLibraryY,0.7,0.01,0.6629464285714286,0.5048801302909851
OSULeaf,0.7,0.0,0.98,0.40694838762283325
OliveOil,0.7,0.0,0.43333333333333335,0.0
FiftyWords,0.7,0.1,0.04888888888888889,0.0
FiftyWords,0.6,0.01,0.06888888888888889,0.0
FaceFour,0.9,0.01,1.0,1.0
Mallat,0.8,0.0,1.0,1.0
SonyAIBORobotSurface2,0.7,0.0,0.9259259259259259,0.203125
TwoPatterns,0.6,0.01,0.872,0.41045665740966797
Lightning2,0.8,0.0,0.9833333333333333,0.9999999403953552
MoteStrain,0.9,0.0,1.0,0.9999998807907104
DiatomSizeReduction,0.6,0.0,1.0,0.18513807654380798
WordSynonyms,0.9,0.0,0.7902621722846442,1.0
CricketZ,0.9,0.0,0.8948717948717949,1.0
Lightning2,0.9,0.0,1.0,0.9999999403953552
Beef,0.9,0.01,1.0,0.8164178729057312
SwedishLeaf,0.7,0.01,0.828,0.3930235803127289
DiatomSizeReduction,0.9,0.0,1.0,1.0
Lightning7,0.7,0.0,0.17142857142857143,0.0
Adiac,0.7,0.0,0.40512820512820513,0.242007315158844
Adiac,0.6,0.1,0.4358974358974359,0.3678974211215973
Haptics,0.7,0.0,0.6838709677419355,0.2925933301448822
Lightning7,0.7,0.0,0.2714285714285714,0.0
MedicalImages,0.9,0.0,0.8661417322834646,1.0
Adiac,0.6,0.1,0.41025641025641024,0.31487178802490234
ECG200,0.8,0.01,0.98,0.31042107939720154
Coffee,0.9,0.01,0.5,0.0
ECG200,0.9,0.01,0.94,0.7418946623802185
DiatomSizeReduction,0.6,0.0,0.6875,0.033793605864048004
CBF,0.7,0.0,0.3,0.0
Symbols,0.9,0.0,1.0,0.9999999403953552
Fish,0.7,0.0,0.8457142857142858,0.5573902130126953
CricketZ,0.6,0.01,0.9179487179487179,0.46517452597618103
StarLightCurves,0.8,0.0,0.943,0.22134798765182495
Beef,0.7,0.1,0.9666666666666667,0.4756218492984772
SonyAIBORobotSurface1,0.6,0.01,0.8,0.08043477684259415
ECGFiveDays,0.8,0.01,1.0,0.5223832130432129
FaceAll,0.8,0.01,0.9625,0.4145054817199707
UWaveGestureLibraryX,0.7,0.1,0.7566964285714286,0.5750433206558228
SonyAIBORobotSurface2,0.9,0.1,1.0,0.35011574625968933
SwedishLeaf,0.7,0.0,0.782,0.3928976356983185
CricketY,0.7,0.1,0.9,0.5718120336532593
NonInvasiveFatalECGThorax2,0.8,0.0,0.8066666666666666,0.15592940151691437
Symbols,0.8,0.01,0.88,0.39748111367225647
Haptics,0.7,0.01,0.6967741935483871,0.32279354333877563
ECGFiveDays,0.7,0.1,0.8695652173913043,0.29758453369140625
UWaveGestureLibraryZ,0.7,0.01,0.7020089285714286,0.5053848624229431
CricketX,0.7,0.0,0.9743589743589743,1.0
MoteStrain,0.9,0.01,1.0,0.9999998807907104
FiftyWords,0.8,0.1,0.11555555555555555,0.0
Coffee,0.7,0.01,0.5,0.0
FaceFour,0.6,0.1,1.0,0.36771729588508606
FacesUCR,0.6,0.01,0.985,0.38157692551612854
WordSynonyms,0.9,0.01,0.7340823970037453,1.0
FaceAll,0.9,0.01,0.9785714285714285,0.5081044435501099
CBF,0.7,0.1,0.9333333333333333,0.30551183223724365
Mallat,0.6,0.01,0.9090909090909091,0.3164845108985901
InlineSkate,0.6,0.0,0.18,0.0
ItalyPowerDemand,0.6,0.01,0.6417910447761194,0.09409473836421967
Fish,0.7,0.0,0.8685714285714285,0.5180210471153259
Yoga,0.9,0.01,0.8133333333333334,0.5131765007972717
Fish,0.9,0.01,0.9371428571428572,0.6627334356307983
FaceAll,0.6,0.0,0.9464285714285714,0.29326924681663513
UWaveGestureLibraryY,0.8,0.1,0.6640625,0.5906221270561218
Wafer,0.6,0.0,0.903,7.28476807125844e-05
TwoLeadECG,0.9,0.1,0.9565217391304348,0.5582394599914551
UWaveGestureLibraryX,0.9,0.1,0.8091517857142857,0.7031427621841431
TwoLeadECG,0.6,0.0,0.8260869565217391,0.3048846125602722
FaceAll,0.6,0.0,0.9321428571428572,0.29696428775787354
OSULeaf,0.9,0.1,0.94,0.5911502242088318
Wafer,0.7,0.1,0.978,0.3274635672569275
Fish,0.7,0.01,0.8057142857142857,0.5379467606544495
SonyAIBORobotSurface2,0.8,0.0,0.9629629629629629,0.2048611044883728
MoteStrain,0.6,0.01,0.5,0.0
SonyAIBORobotSurface1,0.7,0.0,1.0,0.11159420013427734
MedicalImages,0.9,0.1,0.863517060367454,0.572071373462677
SyntheticControl,0.6,0.1,0.9066666666666666,0.36389830708503723
OSULeaf,0.6,0.1,0.9,0.48571595549583435
MoteStrain,0.9,0.1,0.45,0.0
MoteStrain,0.6,0.1,0.45,0.0
TwoLeadECG,0.6,0.01,0.9130434782608695,0.22651639580726624
CricketY,0.9,0.01,0.9333333333333333,1.0
ECG200,0.9,0.0,0.95,1.0
Yoga,0.7,0.0,0.5433333333333333,0.0002117646945407614
StarLightCurves,0.7,0.0,0.914,0.13964025676250458
Fish,0.6,0.0,0.7657142857142857,0.41708099842071533
MedicalImages,0.6,0.01,0.7427821522309711,0.20633134245872498
SonyAIBORobotSurface2,0.9,0.0,1.0,0.35474535822868347
WordSynonyms,0.8,0.01,0.7940074906367042,1.0
CricketZ,0.8,0.01,0.9769230769230769,1.0
ECGFiveDays,0.9,0.1,1.0,0.6363929510116577
OSULeaf,0.9,0.0,0.98,1.0
Symbols,0.8,0.0,0.84,0.4076574444770813
Symbols,0.9,0.01,1.0,0.6514860391616821
SonyAIBORobotSurface2,0.6,0.0,1.0,0.2291666716337204
Wafer,0.6,0.01,0.903,0.024145694449543953
CricketX,0.8,0.1,0.9153846153846154,0.5971614718437195
ChlorineConcentration,0.8,0.0,0.5610278372591007,3.893322718795389e-05
ChlorineConcentration,0.9,0.01,0.5781584582441114,0.1753292977809906
UWaveGestureLibraryY,0.8,0.01,0.7198660714285714,0.6371346712112427
InlineSkate,0.7,0.0,0.18,5.3163212214712985e-06
Symbols,0.9,0.0,1.0,0.9999999403953552
Adiac,0.9,0.1,0.48717948717948717,0.5459780097007751
CricketX,0.6,0.1,0.9025641025641026,0.5017408132553101
NonInvasiveFatalECGThorax2,0.8,0.1,0.8394444444444444,0.42952385544776917
SonyAIBORobotSurface1,0.8,0.1,1.0,0.23768118023872375
CBF,0.6,0.1,0.9333333333333333,0.22992125153541565
Yoga,0.9,0.0,0.8066666666666666,0.4440078139305115
SwedishLeaf,0.6,0.01,0.836,0.3263779580593109
CricketY,0.9,0.1,0.9461538461538461,0.6611438989639282
UWaveGestureLibraryZ,0.8,0.01,0.7712053571428571,1.0
Symbols,0.6,0.0,0.68,0.14236776530742645
MoteStrain,0.8,0.0,0.45,0.0
FaceFour,0.6,0.01,0.9583333333333334,0.2648042142391205
CinCECGTorso,0.7,0.0,0.9,0.5018925666809082
Mallat,0.7,0.1,0.9636363636363636,0.4743090569972992
Adiac,0.6,0.0,0.038461538461538464,0.0
StarLightCurves,0.9,0.0,0.84,0.11182697862386703
TwoPatterns,0.8,0.0,0.982,1.0
Trace,0.6,0.01,0.7,0.19065691530704498
Mallat,0.6,0.1,0.9272727272727272,0.5047543048858643
NonInvasiveFatalECGThorax2,0.6,0.01,0.8011111111111111,0.13887850940227509
Adiac,0.7,0.01,0.31794871794871793,0.2619633674621582
MoteStrain,0.8,0.01,1.0,0.9999998807907104
Trace,0.8,0.0,0.75,0.20244528353214264
Beef,0.6,0.0,0.9,1.0
Mallat,0.9,0.0,0.9636363636363636,1.0
OSULeaf,0.6,0.0,0.91,0.3651995062828064
Trace,0.9,0.01,0.85,0.7248175144195557
DiatomSizeReduction,0.7,0.01,1.0,0.3333939015865326
OliveOil,0.6,0.01,0.43333333333333335,0.0
TwoLeadECG,0.8,0.0,1.0,1.0
UWaveGestureLibraryZ,0.9,0.0,0.7767857142857143,1.0
DiatomSizeReduction,0.7,0.01,1.0,0.34574854373931885
CBF,0.6,0.01,0.9666666666666667,0.23070862889289856
MoteStrain,0.6,0.0,0.5,0.0
Lightning7,0.6,0.01,0.21428571428571427,0.0
Coffee,0.8,0.1,0.4642857142857143,0.0
DiatomSizeReduction,0.9,0.01,1.0,0.7387354969978333
CinCECGTorso,0.8,0.1,0.75,0.460286945104599
FaceAll,0.8,0.0,0.9892857142857143,1.0
Trace,0.7,0.0,0.76,0.18069343268871307
FaceFour,0.9,0.1,1.0,0.3833571970462799
NonInvasiveFatalECGThorax1,0.9,0.0,0.8438888888888889,1.0
FaceAll,0.7,0.01,0.9660714285714286,0.3737912178039551
MoteStrain,0.7,0.01,0.5,0.0
WordSynonyms,0.8,0.01,0.2247191011235955,0.0
OliveOil,0.6,0.0,0.43333333333333335,0.0
DiatomSizeReduction,0.6,0.1,1.0,0.45094478130340576
ItalyPowerDemand,0.8,0.01,0.7910447761194029,0.45295262336730957
InlineSkate,0.9,0.01,0.28,0.39481121301651
Fish,0.6,0.01,0.8342857142857143,0.41980206966400146
Trace,0.8,0.1,0.75,0.43773728609085083
CricketZ,0.9,0.0,0.982051282051282,1.0
UWaveGestureLibraryX,0.9,0.0,0.8582589285714286,1.0
FaceAll,0.6,0.01,0.9160714285714285,0.29087913036346436
GunPoint,0.9,0.1,0.9,0.57744961977005
NonInvasiveFatalECGThorax2,0.7,0.1,0.8261111111111111,0.36024773120880127
CricketZ,0.7,0.01,0.9307692307692308,0.4967670142650604
GunPoint,0.6,0.0,0.96,0.423892617225647
ECGFiveDays,0.6,0.01,0.7391304347826086,0.0634460598230362
NonInvasiveFatalECGThorax1,0.8,0.1,0.8188888888888889,0.45735055208206177
UWaveGestureLibraryZ,0.8,0.1,0.7020089285714286,0.5840004682540894
Yoga,0.6,0.1,0.7433333333333333,0.3404470384120941
CricketX,0.6,0.01,0.9128205128205128,0.4216533899307251
FacesUCR,0.6,0.01,0.965,0.28796154260635376
Mallat,0.7,0.01,0.8727272727272727,0.31351640820503235
FaceAll,0.9,0.0,0.9785714285714285,1.0
Mallat,0.7,0.0,1.0,1.0
StarLightCurves,0.6,0.01,0.863,0.08814369142055511
Beef,0.8,0.01,0.8666666666666667,0.41485434770584106
TwoPatterns,0.7,0.0,1.0,1.0
SonyAIBORobotSurface1,0.8,0.0,1.0,0.15434782207012177
ChlorineConcentration,0.8,0.01,0.563169164882227,0.05102848634123802
FacesUCR,0.8,0.1,0.99,0.5238461494445801
CricketX,0.6,0.01,0.9256410256410257,0.4773261547088623
ECG200,0.8,0.1,0.9,0.4569474160671234
GunPoint,0.8,0.0,0.96,0.42187920212745667
SonyAIBORobotSurface1,0.9,0.0,0.95,0.3072463870048523
Wafer,0.6,0.1,0.972,0.2537218928337097
NonInvasiveFatalECGThorax1,0.9,0.1,0.825,0.5056824684143066
ChlorineConcentration,0.8,0.01,0.5674518201284796,0.08627602458000183
FiftyWords,0.7,0.01,0.08222222222222222,0.0
Beef,0.6,0.01,0.9,1.0
Wafer,0.6,0.01,0.912,0.03005298040807247
Lightning7,0.9,0.01,0.6571428571428571,0.9999998807907104
MedicalImages,0.9,0.01,0.8976377952755905,0.6041030883789062
FaceAll,0.7,0.1,0.9535714285714286,0.4572664499282837
CricketY,0.6,0.0,0.9076923076923077,0.4760655462741852
Trace,0.7,0.1,0.77,0.3557664155960083
Lightning7,0.6,0.0,0.21428571428571427,0.0
CricketZ,0.9,0.1,0.9564102564102565,0.6884143352508545
Adiac,0.7,0.1,0.40512820512820513,0.42121613025665283
CricketY,0.6,0.0,0.941025641025641,0.4588971734046936
UWaveGestureLibraryZ,0.7,0.0,0.7857142857142857,1.0
CinCECGTorso,0.9,0.01,0.925,0.6369963884353638
NonInvasiveFatalECGThorax2,0.7,0.01,0.8244444444444444,0.16993845999240875
CricketX,0.9,0.0,0.9794871794871794,1.0
Beef,0.6,0.0,0.2,0.0
CinCECGTorso,0.7,0.01,0.9,0.6508241891860962
Mallat,0.8,0.01,1.0,1.0
GunPoint,0.6,0.1,0.92,0.4232214689254761
InlineSkate,0.9,0.0,0.23,0.02246677689254284
SwedishLeaf,0.6,0.1,0.822,0.4472913146018982
SyntheticControl,0.7,0.01,0.9733333333333334,0.33531075716018677
Adiac,0.7,0.0,0.19487179487179487,0.10613919794559479
TwoLeadECG,0.8,0.01,0.9565217391304348,0.4557165801525116
CricketY,0.7,0.0,0.9307692307692308,0.535871684551239
Symbols,0.6,0.1,0.88,0.24221663177013397
MedicalImages,0.7,0.1,0.8110236220472441,0.45380038022994995
DiatomSizeReduction,0.7,0.0,1.0,0.28706395626068115
OliveOil,0.9,0.1,0.43333333333333335,0.0
Beef,0.8,0.1,1.0,1.0
OliveOil,0.8,0.0,0.43333333333333335,0.0
CBF,0.8,0.0,1.0,1.0
Lightning7,0.6,0.0,0.2714285714285714,0.0
Coffee,0.9,0.0,0.5,0.0
InlineSkate,0.6,0.01,0.29,0.09052631258964539
UWaveGestureLibraryZ,0.6,0.1,0.625,0.4574684500694275
SyntheticControl,0.6,0.0,0.9066666666666666,0.2216949164867401
GunPoint,0.7,0.0,0.92,0.39624157547950745
Lightning2,0.8,0.1,0.85,0.48194441199302673
MedicalImages,0.6,0.1,0.7795275590551181,0.3521881103515625
SwedishLeaf,0.9,0.01,0.884,0.6400787234306335
