dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.6152671755725191,0.41921002,0.8661577608142493,0.36408108
SyntheticControl,0.9433333333333334,0.05045198,0.9833333333333332,1.0
Wafer,0.9305645684620376,0.1544441,0.9974042829331604,0.18346435
Adiac,0.3989769820971867,0.985707,0.4373401534526854,1.0
Symbols,0.8934673366834169,0.9766186,0.8422110552763821,0.43535559999999995
CricketY,0.7,0.81476724,0.7102564102564103,1.0
NonInvasiveFatalECGThorax2,0.5898218829516539,0.98777807,0.9190839694656489,0.31063440000000003
Beef,0.36666666666666653,0.0016346836999999999,0.6666666666666666,1.0
CricketX,0.6948717948717948,1.0,0.7205128205128205,1.0
SonyAIBORobotSurface2,0.8782791185729276,0.9932941999999999,0.8384050367261279,0.075141005
FaceFour,0.8977272727272727,0.040830947,0.8977272727272727,1.0
ItalyPowerDemand,0.9650145772594751,0.99391556,0.9378036929057336,0.07690032599999999
WordSynonyms,0.5094043887147336,1.0,0.6144200626959248,1.0
GunPoint,0.66,0.9311856,0.9133333333333332,0.18290828
MoteStrain,0.8115015974440895,2.886947e-05,0.8266773162939297,0.9999998999999999
UWaveGestureLibraryY,0.6200446677833612,1.0,0.7049134561697376,1.0
Lightning2,0.7704918032786885,0.9421074,0.7704918032786885,0.99999994
Mallat,0.5339019189765458,0.99353707,0.6191897654584222,1.0
CinCECGTorso,0.6681159420289855,0.98508865,0.7188405797101449,1.0
SwedishLeaf,0.8272,0.5471496,0.9279999999999999,0.40671495
Coffee,0.8928571428571429,0.0,0.9642857142857144,0.0
CBF,0.8888888888888888,0.7215486,0.8666666666666667,0.14781277
UWaveGestureLibraryZ,0.6194863204913457,0.7004262,0.7571189279731994,0.90366644
StarLightCurves,0.9023797960174842,0.71154135,0.8353569694026226,0.3163945
ECG200,0.93,0.7358948000000001,0.94,0.37957898
OliveOil,0.4,0.0,0.13333333333333333,1.0
UWaveGestureLibraryX,0.7571189279731994,1.0,0.8023450586264657,1.0
ChlorineConcentration,0.57421875,0.0,0.6013020833333333,0.0
Lightning7,0.410958904109589,0.0,0.410958904109589,0.0
OSULeaf,0.6487603305785123,1.0,0.6694214876033058,1.0
SonyAIBORobotSurface1,0.8885191347753744,1.0,0.826955074875208,0.053389277
Haptics,0.31493506493506496,0.0,0.24025974025974026,0.0
TwoLeadECG,0.6856892010535558,0.9940493,0.7172958735733099,0.332683
FacesUCR,0.8980487804878049,0.49727955,0.8653658536585366,0.17336962
Yoga,0.7083333333333334,0.565389,0.7816666666666666,0.4742282
TwoPatterns,0.5445,0.0,0.58725,0.0
Fish,0.8857142857142857,0.90263444,0.8057142857142857,0.6719852
Trace,0.85,0.9909488999999999,0.98,0.76178825
InlineSkate,0.2690909090909091,0.9813146,0.2945454545454545,1.0
FaceAll,0.9337278106508876,0.8550751,0.9260355029585798,0.16586253
ECGFiveDays,1.0,0.9939690999999999,0.9814169570267132,0.08272034
CricketZ,0.6564102564102564,1.0,0.7051282051282052,1.0
FiftyWords,0.6901098901098901,0.75583965,0.7494505494505495,0.99840677
MedicalImages,0.7197368421052631,0.78935283,0.7171052631578947,0.5510472
DiatomSizeReduction,0.7647058823529411,0.9274205,0.9411764705882352,0.06705046
