dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
FaceAll,0.8958579881656805,0.8899454,0.9059171597633136,0.06272190000000001
ECGFiveDays,1.0,0.9980299000000001,0.9616724738675958,0.017843163000000002
CricketZ,0.6743589743589744,0.710385,0.6512820512820513,0.30590004
FiftyWords,0.6703296703296703,0.26582783,0.7032967032967034,0.26308262
MedicalImages,0.6855263157894737,0.47471803,0.7144736842105263,0.26648766
DiatomSizeReduction,0.7647058823529411,0.93547654,0.8464052287581699,2.8499773e-05
