dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
FaceAll,0.9059171597633136,0.8455075000000001,0.9153846153846154,0.11343651
ECGFiveDays,0.9988385598141696,0.9917925,0.9744483159117304,0.017516239
CricketZ,0.7333333333333333,0.9977875,0.7282051282051282,1.0
FiftyWords,0.7252747252747253,1.0,0.7494505494505495,1.0
MedicalImages,0.7171052631578947,1.0,0.7394736842105263,0.9990199000000001
DiatomSizeReduction,0.7581699346405228,0.9305081000000001,0.8660130718954249,0.0070204437
