dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.4020356234096692,1.0,0.2860050890585242,0.5958085
Adiac,0.2531969309462916,1.0,0.2301790281329923,0.51685786
Symbols,0.7236180904522613,0.9999998999999999,0.7597989949748744,0.6349176
CricketY,0.4820512820512821,1.0,0.5179487179487179,0.86756706
Beef,0.3,1.0,0.4666666666666667,1.0
CricketX,0.4205128205128205,1.0,0.4948717948717949,0.85334027
FaceFour,0.6136363636363636,1.0,0.5795454545454546,0.5799036
WordSynonyms,0.32445141065830724,1.0,0.322884012539185,0.33676916
GunPoint,0.76,1.0,0.9,1.0
MoteStrain,0.7755591054313099,0.9999998999999999,0.805111821086262,0.95485765
UWaveGestureLibraryY,0.4427694025683975,1.0,0.48324958123953105,0.8702981
CinCECGTorso,0.45,1.0,0.5420289855072464,1.0
SwedishLeaf,0.5824,1.0,0.624,0.69591177
CBF,0.8344444444444444,1.0,0.8588888888888889,0.8867279
StarLightCurves,0.8581835842642059,1.0,0.8289218067022827,0.0034083728999999997
OliveOil,0.4,1.0,0.36666666666666653,0.0070298769999999995
SonyAIBORobotSurface1,0.8469217970049917,1.0,0.8618968386023295,0.99004084
TwoLeadECG,0.8735733099209834,1.0,0.7726075504828798,1.0
FacesUCR,0.39707317073170734,1.0,0.5517073170731708,1.0
Yoga,0.5329999999999999,0.99999994,0.664,0.10832941
Fish,0.15428571428571428,1.0,0.19428571428571428,0.9944341
Trace,0.72,1.0,0.72,1.0
FaceAll,0.8088757396449704,1.0,0.8047337278106509,0.5628266
ECGFiveDays,0.5725900116144018,1.0,0.6085946573751452,1.0
FiftyWords,0.378021978021978,1.0,0.4439560439560439,0.7994363
MedicalImages,0.5868421052631579,1.0,0.6223684210526316,0.54652256
DiatomSizeReduction,0.2843137254901961,1.0,0.6111111111111112,1.0
