dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.4402035623409669,1.0,0.4468193384223919,0.25760895
SyntheticControl,0.9166666666666666,1.0,0.8066666666666666,0.09079095
Adiac,0.2327365728900256,1.0,0.14578005115089515,0.034870293
Symbols,0.7849246231155779,0.9999998999999999,0.7708542713567841,0.49196863
CricketY,0.4692307692307692,1.0,0.2743589743589744,0.18918617
Beef,0.16666666666666666,1.0,0.3333333333333333,0.02309879
CricketX,0.4948717948717949,1.0,0.3948717948717949,0.1992968
SonyAIBORobotSurface2,0.8677859391395593,1.0,0.8436516264428122,0.6154086
FaceFour,0.5909090909090909,1.0,0.5681818181818182,0.39056396
WordSynonyms,0.2727272727272727,1.0,0.23197492163009406,0.013972568000000001
GunPoint,0.7866666666666666,1.0,0.8133333333333334,0.7389260999999999
MoteStrain,0.8075079872204473,0.9999998999999999,0.7667731629392971,0.7233053
UWaveGestureLibraryY,0.4712451144611949,1.0,0.2627024008933557,0.0154523505
CinCECGTorso,0.4101449275362319,1.0,0.4369565217391304,0.008927023000000001
SwedishLeaf,0.5296,1.0,0.2272,0.033839367
CBF,0.85,1.0,0.8333333333333334,0.7024234
