dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.38727735368956745,1.0,0.332824427480916,1.0
Adiac,0.2659846547314578,1.0,0.2915601023017903,1.0
Symbols,0.7045226130653266,0.9999998999999999,0.7889447236180904,0.9999998999999999
CricketY,0.4564102564102564,1.0,0.4974358974358975,1.0
Beef,0.3333333333333333,1.0,0.26666666666666666,1.0
CricketX,0.4820512820512821,1.0,0.4794871794871795,1.0
FaceFour,0.625,1.0,0.6022727272727273,1.0
WordSynonyms,0.25235109717868337,1.0,0.35893416927899685,1.0
GunPoint,0.7666666666666667,1.0,0.7866666666666666,1.0
MoteStrain,0.7883386581469649,0.9999998999999999,0.799520766773163,0.9999998999999999
UWaveGestureLibraryY,0.44304857621440535,1.0,0.4988833054159688,1.0
CinCECGTorso,0.3891304347826087,1.0,0.5789855072463768,1.0
SwedishLeaf,0.5888,1.0,0.5152,1.0
CBF,0.8266666666666667,1.0,0.8811111111111111,1.0
StarLightCurves,0.8491986401165614,1.0,0.8511413307430792,0.9266281
OliveOil,0.4,1.0,0.4,1.0
SonyAIBORobotSurface1,0.7454242928452579,1.0,0.870216306156406,1.0
TwoLeadECG,0.9640035118525022,1.0,0.9771729587357332,1.0
FacesUCR,0.38634146341463416,1.0,0.5414634146341464,1.0
Yoga,0.5013333333333333,0.99999994,0.5716666666666667,0.99999994
Fish,0.14285714285714285,1.0,0.19428571428571428,1.0
Trace,0.72,1.0,0.72,1.0
FaceAll,0.806508875739645,1.0,0.8118343195266272,1.0
ECGFiveDays,0.519163763066202,1.0,0.6794425087108014,1.0
FiftyWords,0.4087912087912088,1.0,0.4,1.0
MedicalImages,0.5947368421052631,1.0,0.6328947368421053,1.0
DiatomSizeReduction,0.2843137254901961,1.0,0.7745098039215687,1.0
