dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.250381679389313,1.0,0.5241730279898219,0.63012594
Adiac,0.2506393861892583,1.0,0.30179028132992325,0.26488855
Symbols,0.6804020100502512,0.9999998999999999,0.75678391959799,0.50402135
CricketY,0.476923076923077,1.0,0.4897435897435897,0.70389324
Beef,0.3333333333333333,1.0,0.26666666666666666,0.88898367
CricketX,0.44102564102564096,1.0,0.3923076923076923,0.65292853
FaceFour,0.6931818181818182,1.0,0.6590909090909091,0.37389296
WordSynonyms,0.3510971786833856,1.0,0.25235109717868337,0.023866404
GunPoint,0.68,1.0,0.7933333333333333,0.8652349
MoteStrain,0.797923322683706,0.9999998999999999,0.8011182108626198,0.6561453
UWaveGestureLibraryY,0.4818537130094919,1.0,0.5094919039642658,0.5824335999999999
CinCECGTorso,0.3760869565217391,1.0,0.5159420289855072,0.7960295000000001
SwedishLeaf,0.5424,1.0,0.4176,0.2414488
CBF,0.7911111111111111,1.0,0.9133333333333332,0.7758093
StarLightCurves,0.8512627489072365,1.0,0.8285575522098105,0.0026884092999999998
OliveOil,0.4,1.0,0.3333333333333333,0.0070298769999999995
SonyAIBORobotSurface1,0.908485856905158,1.0,0.9417637271214644,0.9536761999999999
TwoLeadECG,0.7014925373134329,1.0,0.9341527655838456,0.90338075
FacesUCR,0.3707317073170732,1.0,0.4351219512195122,0.75184995
Yoga,0.5386666666666666,0.99999994,0.5526666666666666,0.062381957
Fish,0.15428571428571428,1.0,0.14285714285714285,0.9901421999999999
Trace,0.74,1.0,0.72,0.17700727
FaceAll,0.7994082840236686,1.0,0.7899408284023669,0.39356852
ECGFiveDays,0.6306620209059234,1.0,0.554006968641115,0.8009378
FiftyWords,0.3626373626373626,1.0,0.4153846153846154,0.6164713
MedicalImages,0.5855263157894737,1.0,0.5802631578947368,0.24526046
DiatomSizeReduction,0.2843137254901961,1.0,0.5424836601307189,0.47074023
