dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
SyntheticControl,0.9866666666666668,1.0,0.94,0.039152544
Wafer,0.9667423750811162,0.03197803,0.9948085658663206,0.09250573
Adiac,0.35805626598465473,0.60534894,0.381074168797954,0.20947024
Symbols,0.8753768844221106,0.9999998999999999,0.8663316582914573,0.6040454000000001
CricketY,0.7205128205128205,0.9651145000000001,0.7,0.38141668
NonInvasiveFatalECGThorax2,0.8839694656488549,0.11810149,0.9038167938931296,0.10716987
Beef,0.36666666666666653,0.0,0.5666666666666667,1.0
CricketX,0.7,0.4572678,0.7205128205128205,0.48934913
SonyAIBORobotSurface2,0.8677859391395593,1.0,0.8436516264428122,4.918678e-05
FaceFour,0.875,0.007781974499999999,0.9204545454545454,0.02940219
ItalyPowerDemand,0.9455782312925172,0.9954368,0.9689018464528668,0.016436389
WordSynonyms,0.31347962382445144,0.0,0.3072100313479624,0.0
GunPoint,0.6666666666666666,1.0,0.9333333333333332,0.041342285
MoteStrain,0.7899361022364217,0.0,0.7843450479233227,0.0
UWaveGestureLibraryY,0.6686208821887214,0.99935895,0.6850921273031826,0.5037093
Lightning2,0.7704918032786885,0.9256624,0.7049180327868853,0.3401897
Mallat,0.5769722814498934,0.9179852,0.5697228144989339,0.37008965
CinCECGTorso,0.6717391304347826,1.0,0.7021739130434783,0.7253619000000001
SwedishLeaf,0.9072,1.0,0.9232,0.15488504
Coffee,1.0,0.0,0.75,0.0
CBF,0.8833333333333333,1.0,0.83,0.0
UWaveGestureLibraryZ,0.6457286432160804,0.13483375,0.7194304857621441,0.32876432
StarLightCurves,0.8465274405050995,0.011549442,0.9639388052452648,0.17219314
ECG200,0.92,0.73031586,0.85,0.14978947
OliveOil,0.4,0.0,0.3333333333333333,0.0
UWaveGestureLibraryX,0.7663316582914573,0.51532704,0.7928531546621999,0.40402117
ChlorineConcentration,0.5752604166666667,0.0,0.5908854166666667,0.0
Lightning7,0.5068493150684932,0.0,0.6164383561643836,0.0
OSULeaf,0.6363636363636364,0.42037207,0.6322314049586777,0.35413998
SonyAIBORobotSurface1,0.8336106489184693,1.0,0.7986688851913477,0.010779137
Haptics,0.3116883116883117,0.0,0.275974025974026,0.0
TwoLeadECG,0.7638279192273925,1.0,0.6259877085162423,0.020279866
FacesUCR,0.9019512195121951,0.106889315,0.895609756097561,0.057684805
Yoga,0.7676666666666667,0.99999994,0.7929999999999999,0.30932704
TwoPatterns,0.5685,0.0,0.54825,0.0
Fish,0.8171428571428572,1.0,0.8228571428571428,0.20972173
Trace,0.77,1.0,1.0,1.0
InlineSkate,0.1509090909090909,0.0,0.2018181818181818,0.0
FaceAll,0.9094674556213018,1.0,0.9088757396449704,0.058957677
ECGFiveDays,0.9965156794425089,1.0,0.9709639953542392,0.014126553
CricketZ,0.7333333333333333,1.0,0.7205128205128205,0.49603805
FiftyWords,0.7450549450549451,0.79966503,0.7472527472527473,0.32257032
MedicalImages,0.7421052631578947,0.54021215,0.7315789473684211,0.23435822
DiatomSizeReduction,0.7287581699346405,1.0,0.977124183006536,0.11649756
