dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.4870229007633588,1.0,0.3312977099236641,0.5207636
Adiac,0.13554987212276215,1.0,0.20460358056265984,0.09560833
Symbols,0.7437185929648241,0.9999998999999999,0.7628140703517587,0.37346682
CricketY,0.4923076923076923,1.0,0.4358974358974359,0.40434787
Beef,0.36666666666666653,1.0,0.4,0.97320545
CricketX,0.5,1.0,0.4641025641025641,0.3916731
FaceFour,0.6477272727272727,1.0,0.6136363636363636,0.49394372
WordSynonyms,0.3072100313479624,1.0,0.2335423197492163,0.014298866499999998
GunPoint,0.7533333333333333,1.0,0.8066666666666666,0.94653237
MoteStrain,0.7739616613418531,0.9999998999999999,0.8019169329073482,0.85157233
UWaveGestureLibraryY,0.4463986599664992,1.0,0.2582356225572306,0.01473041
CinCECGTorso,0.4934782608695652,1.0,0.4420289855072464,0.011660562
SwedishLeaf,0.5968,1.0,0.4304,0.11056377
CBF,0.7811111111111111,1.0,0.8566666666666667,0.81948376
StarLightCurves,0.8603691112190384,1.0,0.8284361340456532,0.0027263898
OliveOil,0.4,1.0,0.16666666666666666,0.0070298769999999995
SonyAIBORobotSurface1,0.8219633943427621,1.0,0.9134775374376041,0.72736263
TwoLeadECG,0.9508340649692713,1.0,0.9719051799824407,0.7528805000000001
FacesUCR,0.3741463414634145,1.0,0.4702439024390244,0.62233776
Yoga,0.5286666666666666,0.99999994,0.5356666666666666,0.013320783999999999
Fish,0.17714285714285713,1.0,0.14285714285714285,0.40178105
Trace,0.72,1.0,0.72,0.22693429999999998
FaceAll,0.7917159763313609,1.0,0.7242603550295857,0.24947199999999997
ECGFiveDays,0.4982578397212544,1.0,0.6991869918699187,1.0
FiftyWords,0.4263736263736264,1.0,0.2307692307692308,0.06479023
MedicalImages,0.5855263157894737,1.0,0.5460526315789473,0.12372448
DiatomSizeReduction,0.2843137254901961,1.0,0.4967320261437909,0.42973855
