dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
FaceAll,0.9065088757396451,0.9000181999999999,0.9337278106508876,0.35167503
ECGFiveDays,1.0,0.9944337,0.994192799070848,0.18293113
CricketZ,0.5538461538461539,0.1080096,0.7025641025641025,0.40237543
FiftyWords,0.7604395604395604,0.6567016999999999,0.7670329670329671,0.43631685
MedicalImages,0.7210526315789474,0.32823575,0.7263157894736842,0.40680718
DiatomSizeReduction,0.7156862745098039,0.92530215,0.9673202614379084,0.3397458
