dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.30788804071246817,1.0,0.4005089058524173,0.22350614
Adiac,0.2659846547314578,1.0,0.10485933503836316,0.08384363
Symbols,0.7919597989949749,0.9999998999999999,0.7618090452261307,0.50675285
CricketY,0.4641025641025641,1.0,0.4487179487179487,0.6018437
Beef,0.4,1.0,0.4666666666666667,0.40255865
CricketX,0.458974358974359,1.0,0.4461538461538462,0.49952838
FaceFour,0.6590909090909091,1.0,0.6818181818181818,0.50944257
WordSynonyms,0.31974921630094044,1.0,0.25862068965517243,0.016518861
GunPoint,0.7733333333333333,1.0,0.88,0.8076063
MoteStrain,0.7971246006389776,0.9999998999999999,0.786741214057508,0.8258786
UWaveGestureLibraryY,0.4491903964265773,1.0,0.4648241206030151,0.44258183
CinCECGTorso,0.4746376811594203,1.0,0.3681159420289855,0.015125817
SwedishLeaf,0.5136,1.0,0.2912,0.111748025
CBF,0.8022222222222222,1.0,0.8577777777777778,0.5889064
StarLightCurves,0.8506556580864497,1.0,0.8284361340456532,0.0024892501999999998
OliveOil,0.4,1.0,0.4666666666666667,0.0070298769999999995
SonyAIBORobotSurface1,0.8402662229617305,1.0,0.8968386023294509,0.64272106
TwoLeadECG,0.884108867427568,1.0,0.8525021949078139,0.78362
FacesUCR,0.4019512195121952,1.0,0.4912195121951219,0.74254405
Yoga,0.532,0.99999994,0.5416666666666666,0.017579608
Fish,0.15428571428571428,1.0,0.2857142857142857,0.8450711
Trace,0.72,1.0,0.72,0.18361312
FaceAll,0.8201183431952662,1.0,0.7467455621301775,0.2755667
ECGFiveDays,0.5644599303135889,1.0,0.6689895470383276,0.9884544
FiftyWords,0.4087912087912088,1.0,0.37142857142857133,0.29663792
MedicalImages,0.5684210526315789,1.0,0.5552631578947368,0.12428839
DiatomSizeReduction,0.2843137254901961,1.0,0.6274509803921569,0.30070108
