dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.4193384223918575,1.0,0.33994910941475825,0.23063152
Adiac,0.2276214833759591,1.0,0.19437340153452684,0.06710997
Symbols,0.749748743718593,0.9999998999999999,0.7547738693467336,0.43744920000000004
CricketY,0.476923076923077,1.0,0.2692307692307692,0.17873251
Beef,0.4,1.0,0.5,0.018550105
CricketX,0.4512820512820513,1.0,0.3743589743589744,0.17128034
FaceFour,0.5909090909090909,1.0,0.5568181818181818,0.28829125
WordSynonyms,0.33699059561128525,1.0,0.2225705329153605,0.013162648999999998
GunPoint,0.6333333333333333,1.0,0.8133333333333334,0.6406264
MoteStrain,0.7603833865814696,0.9999998999999999,0.7835463258785943,0.70707107
UWaveGestureLibraryY,0.4642657733109994,1.0,0.2571189279731993,0.0014403227
CinCECGTorso,0.4,1.0,0.3536231884057971,0.011100052
SwedishLeaf,0.552,1.0,0.28800000000000003,0.016214173000000002
CBF,0.8322222222222222,1.0,0.8822222222222222,0.6394401
StarLightCurves,0.8513841670713939,1.0,0.8280718795531812,0.0023057584
OliveOil,0.4,1.0,0.16666666666666666,0.0070298769999999995
SonyAIBORobotSurface1,0.8086522462562395,1.0,0.8618968386023295,0.76141214
TwoLeadECG,0.9244951712028094,1.0,0.8472344161545216,0.8521662
FacesUCR,0.3829268292682927,1.0,0.4282926829268293,0.6289756999999999
Yoga,0.609,0.99999994,0.5356666666666666,0.0041113723999999996
Fish,0.2,1.0,0.14285714285714285,0.9944216999999999
Trace,0.72,1.0,0.72,0.104416065
FaceAll,0.7816568047337278,1.0,0.6964497041420118,0.19343197
ECGFiveDays,0.5435540069686411,1.0,0.6097560975609756,0.97559255
FiftyWords,0.4043956043956044,1.0,0.1934065934065934,0.025777197
MedicalImages,0.6013157894736842,1.0,0.5263157894736842,0.11949516
DiatomSizeReduction,0.2843137254901961,1.0,0.4836601307189543,0.5870098000000001
