,NB,C45,SVML,SVMQ,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE
RefrigerationDevices,0.384,0.464,0.352,0.373333333,0.504,0.514666667,0.565333333,0.368,0.394666667,0.464,0.44,0.408,0.424,0.490666667,0.490666667,0.482666667,0.512,0.434666667,0.426666667,0.445333333,0.445333333,0.482666667,0.581333333,0.514666667,0.333333,0.461333333,0.653333333,0.498666667,0.589333333,0.472,0.458666667,0.496,0.506666667,0.437333333,0.445333333,0.546666667,0.557333333
ScreenType,0.434666667,0.373333333,0.381333333,0.384,0.448,0.434666667,0.44,0.386666667,0.36,0.397333333,0.410666667,0.426666667,0.442666667,0.381333333,0.437333333,0.458666667,0.426666667,0.426666667,0.410666667,0.429333333,0.437333333,0.434666667,0.52,0.429333333,0.413333,0.418666667,0.512,0.464,0.456,0.509333333,0.416,0.504,0.493333333,0.445333333,0.405333333,0.546666667,0.589333333
ShapeletSim,0.466666667,0.488888889,0.488888889,0.483333333,0.522222222,0.488888889,0.411111111,0.472222222,0.538888889,0.65,0.694444444,0.538888889,0.505555556,0.838888889,0.822222222,0.866666667,0.577777778,0.494444444,0.755555556,0.611111111,0.6,0.672222222,0.955555556,0.95,1,0.7,0.716666667,1,0.477777778,0.961111111,0.866666667,0.922222222,0.766666667,0.816666667,0.744444444,0.961111111,1
ShapesAll,0.623333333,0.471666667,0.713333333,0.748333333,0.583333333,0.77,0.743333333,0.65,0.751666667,0.768333333,0.801666667,0.835,0.845,0.811666667,0.845,0.871666667,0.86,0.86,0.811666667,0.85,0.838333333,0.805,0.841666667,0.768333333,0.58,0.785,0.698333333,0.908333333,0.791666667,0.185,0.873333333,0.616666667,0.738333333,0.866666667,0.808333333,0.891666667,0.905
SmallKitchenAppliances,0.514666667,0.573333333,0.461333333,0.461333333,0.653333333,0.669333333,0.728,0.333333333,0.344,0.642666667,0.672,0.653333333,0.669333333,0.632,0.472,0.698666667,0.645333333,0.645333333,0.674666667,0.64,0.648,0.757333333,0.792,0.664,0.333333,0.746666667,0.578666667,0.725333333,0.810666667,0.672,0.712,0.698666667,0.68,0.696,0.674666667,0.776,0.853333333
SonyAIBORobotSurface1,0.930116473,0.655574043,0.703826955,0.707154742,0.740432612,0.637271215,0.808652246,0.901830283,0.695507488,0.725457571,0.695507488,0.730449251,0.698835275,0.688851913,0.735440932,0.730449251,0.680532446,0.717138103,0.737104825,0.742096506,0.710482529,0.740432612,0.84359401,0.81031614,0.685524,0.71547421,0.813643927,0.632279534,0.787021631,0.795341098,0.773710483,0.886855241,0.878535774,0.703826955,0.81530782,0.845257903,0.765391015
SonyAIBORobotSurface2,0.786988458,0.686253935,0.818467996,0.818467996,0.790136411,0.790136411,0.807974816,0.840503673,0.859391396,0.831059811,0.859391396,0.858342078,0.861490031,0.822665268,0.81112277,0.870933893,0.853095488,0.858342078,0.831059811,0.891920252,0.891920252,0.856243442,0.93389297,0.875131165,0.790136,0.81112277,0.81636936,0.859391396,0.810073452,0.777544596,0.871983211,0.924449108,0.904512067,0.878279119,0.877229801,0.951731375,0.927597062
StarlightCurves,0.791403594,0.907236523,0.919499757,0.933948519,0.791403594,0.949854298,0.969281204,0.846406022,0.848834386,0.906629432,0.898251578,0.962238951,0.963695969,0.86243322,0.879431763,0.868139874,0.883195726,0.962238951,0.895216124,0.962238951,0.962238951,0.96163186,0.978508985,0.946576008,0.9178,,0.875303545,0.977780476,0.969402623,0.977051967,0.96296746,0.96430306,0.953739679,0.926056338,0.918103448,0.979601748,0.981544439
Strawberry,0.764864865,0.937837838,0.918918919,0.972972973,0.818918919,0.956756757,0.972972973,0.962162162,0.945945946,0.940540541,0.945945946,0.962162162,0.962162162,0.945945946,0.837837838,0.943243243,0.943243243,0.962162162,0.943243243,0.954054054,0.956756757,0.97027027,0.962162162,0.910810811,0.902703,0.967567568,0.956756757,0.975675676,0.964864865,0.954054054,0.962162162,0.87027027,0.940540541,0.945945946,0.943243243,0.951351351,0.97027027
SwedishLeaf,0.8576,0.6576,0.8416,0.864,0.8336,0.8704,0.8816,0.8288,0.7888,0.792,0.8464,0.8848,0.904,0.8624,0.888,0.896,0.8912,0.8928,0.8736,0.9008,0.896,0.9008,0.928,0.9072,0.768,0.7344,0.6688,0.9216,0.9136,0.9152,0.92,0.8816,0.9024,0.9152,0.8816,0.9552,0.9536
Symbols,0.79798995,0.627135678,0.870351759,0.894472362,0.895477387,0.901507538,0.792964824,0.75678392,0.899497487,0.949748744,0.937688442,0.970854271,0.968844221,0.920603015,0.954773869,0.948743719,0.959798995,0.973869347,0.949748744,0.952763819,0.96281407,0.948743719,0.88241206,0.931658291,0.933668,0.950753769,0.622110553,0.966834171,0.914572864,0.945728643,0.96281407,0.897487437,0.798994975,0.959798995,0.940703518,0.963819095,0.973869347
SyntheticControl,0.96,0.81,0.923333333,0.943333333,0.926666667,0.943333333,0.973333333,0.91,0.88,0.993333333,0.983333333,0.566666667,0.566666667,0.976666667,0.953333333,0.973333333,0.986666667,0.566666667,0.993333333,0.993333333,0.996666667,0.99,0.983333333,0.996666667,0.91,0.933333333,0.89,0.966666667,0.986666667,0.993333333,0.98,0.66,0.653333333,0.99,0.973333333,1,0.996666667
ToeSegmentation1,0.552631579,0.592105263,0.543859649,0.574561404,0.578947368,0.649122807,0.530701754,0.5,0.679824561,0.771929825,0.75,0.785087719,0.587719298,0.833333333,0.75,0.815789474,0.820175439,0.627192982,0.793859649,0.807017544,0.807017544,0.921052632,0.964912281,0.934210526,0.95614,0.877192982,0.929824561,0.938596491,0.74122807,0.780701754,0.877192982,0.890350877,0.697368421,0.828947368,0.736842105,0.973684211,0.98245614
ToeSegmentation2,0.638461538,0.5,0.546153846,0.653846154,0.561538462,0.769230769,0.584615385,0.592307692,0.807692308,0.838461538,0.907692308,0.684615385,0.784615385,0.923076923,0.907692308,0.753846154,0.784615385,0.792307692,0.892307692,0.746153846,0.715384615,0.907692308,0.907692308,0.915384615,0.692308,0.946153846,0.861538462,0.961538462,0.815384615,0.8,0.869230769,0.830769231,0.746153846,0.892307692,0.876923077,0.915384615,0.953846154
Trace,0.8,0.79,0.73,0.82,0.82,0.78,0.93,0.84,0.76,1,0.99,1,0.99,0.95,0.97,0.93,0.99,1,1,1,0.99,1,1,1,1,0.97,1,1,0.99,0.98,0.98,1,0.95,0.99,0.99,1,1
TwoLeadECG,0.698858648,0.718173837,0.941176471,0.905179982,0.73309921,0.724319579,0.970149254,0.950834065,0.74714662,0.905179982,0.868305531,0.994732221,0.981562774,0.942054434,0.885864794,0.947322212,0.973661106,0.994732221,0.905179982,0.978050922,0.985074627,0.985074627,0.997366111,0.996488147,0.924495,0.975417032,0.897278314,0.980684811,0.75856014,0.865671642,0.948200176,0.804214223,0.960491659,0.971027217,0.881474978,0.992976295,0.996488147
TwoPatterns,0.457,0.65125,0.82175,0.87425,0.46275,0.858,0.928,0.91075,0.90675,1,0.9985,0.9975,0.99675,1,0.99925,0.999,0.9985,0.9975,1,1,0.9995,1,0.955,0.99325,0.90825,0.942,0.8745,0.993,0.99125,0.97625,0.982,0.414,0.46575,1,0.99825,1,1
UWaveGestureLibraryX,0.665270798,0.601340034,0.658570631,0.718592965,0.669458403,0.762144054,0.782802903,0.747906198,0.739251815,0.727526521,0.774427694,0.676996092,0.741485204,0.771356784,0.771356784,0.769123395,0.771356784,0.74427694,0.774427694,0.779173646,0.774706868,0.801507538,0.802903406,0.791178113,0.694584,0.597710776,0.529034059,0.762144054,0.804020101,0.830820771,0.829145729,0.472920156,0.448073702,0.805415969,0.789782245,0.821887214,0.839754327
UWaveGestureLibraryY,0.555834729,0.563093244,0.627582356,0.626186488,0.584589615,0.69374651,0.71440536,0.664154104,0.661641541,0.63400335,0.701842546,0.584031267,0.662758236,0.678950307,0.691792295,0.701842546,0.684812954,0.659128978,0.693188163,0.715801228,0.698492462,0.702959241,0.730318258,0.702959241,0.595757,0.531825796,0.411781128,0.685092127,0.727247348,0.736180905,0.760748185,0.481853713,0.446677834,0.725572306,0.722501396,0.758514796,0.765494137
UWaveGestureLibraryZ,0.563372418,0.573422669,0.614461195,0.654941374,0.573422669,0.719988833,0.72278057,0.675600223,0.649637074,0.658291457,0.675041876,0.577051926,0.676996092,0.686767169,0.688721385,0.699888331,0.683696259,0.678950307,0.675879397,0.696259073,0.679229481,0.7319933,0.748464545,0.746789503,0.638191,0.556113903,0.491624791,0.694863205,0.742881072,0.772473479,0.768285874,0.476828587,0.466219989,0.72361809,0.706309324,0.75041876,0.783082077
UWaveGestureLibraryAll,0.890563931,0.784198772,0.893914015,0.935790061,0.890563931,0.938581798,0.944444444,0.931602457,0.948073702,0.891680625,0.962311558,0.849246231,0.927135678,0.953657175,0.958961474,0.963149079,0.952819654,0.93718593,0.966219989,0.935231714,0.937744277,0.965661642,0.942211055,0.953378001,0.788666,,0.798994975,0.938860972,0.957286432,0.926298157,0.965940815,0.532104969,0.660245673,0.968453378,0.963428252,0.964265773,0.968453378
Wafer,0.708468527,0.981992213,0.959928618,0.994159637,0.957657365,0.993510707,0.994484101,0.963984426,0.995457495,0.979883193,0.995944192,0.977774173,0.997079818,0.99513303,0.989779364,0.997404283,0.995619727,0.997404283,0.997079818,0.979883193,0.992537313,0.996593121,1,0.996106424,0.996755,0.995619727,0.999026606,0.994808566,0.996106424,0.99513303,0.997404283,0.995944192,0.99513303,0.997404283,0.994321869,0.999837768,0.999351071
Wine,0.574074074,0.685185185,0.833333333,0.759259259,0.611111111,0.740740741,0.944444444,0.944444444,0.611111111,0.574074074,0.611111111,0.518518519,0.537037037,0.611111111,0.481481481,0.592592593,0.574074074,0.518518519,0.574074074,0.574074074,0.611111111,0.703703704,0.796296296,0.5,0.759259,0.759259259,0.962962963,0.740740741,0.62962963,0.611111111,0.62962963,0.703703704,0.481481481,0.574074074,0.611111111,0.648148148,0.777777778
WordSynonyms,0.476489028,0.380877743,0.512539185,0.565830721,0.250783699,0.570532915,0.598746082,0.537617555,0.617554859,0.648902821,0.749216301,0.680250784,0.731974922,0.681818182,0.757053292,0.763322884,0.749216301,0.731974922,0.744514107,0.730407524,0.730407524,0.673981191,0.570532915,0.606583072,0.431034,0.515673981,0.490595611,0.637931034,0.647335423,0.688087774,0.755485893,0.365203762,0.37460815,0.778996865,0.757053292,0.757053292,0.738244514
Worms,0.38961039,0.402597403,0.38961039,0.428571429,0.441558442,0.545454545,0.61038961,0.415584416,0.454545455,0.584415584,0.532467532,0.584415584,0.649350649,0.558441558,0.597402597,0.571428571,0.571428571,0.584415584,0.532467532,0.584415584,0.649350649,0.532467532,0.74025974,0.61038961,0.649351,0.532467532,0.558441558,0.558441558,0.61038961,0.688311688,0.701298701,0.753246753,0.688311688,0.662337662,0.61038961,0.623376623,0.558441558
WormsTwoClass,0.519480519,0.558441558,0.493506494,0.571428571,0.571428571,0.636363636,0.688311688,0.597402597,0.61038961,0.623376623,0.584415584,0.636363636,0.688311688,0.649350649,0.649350649,0.675324675,0.61038961,0.636363636,0.571428571,0.649350649,0.623376623,0.701298701,0.831168831,0.727272727,0.727273,0.636363636,0.714285714,0.831168831,0.623376623,0.753246753,0.753246753,0.766233766,0.818181818,0.688311688,0.675324675,0.805194805,0.779220779
Yoga,0.542333333,0.684333333,0.572,0.786,0.606,0.814666667,0.824333333,0.820666667,0.830333333,0.836666667,0.843,0.82,0.828666667,0.847,0.860333333,0.865333333,0.872,0.84,0.853,0.856,0.856,0.868333333,0.817666667,0.834333333,0.695,0.832,0.84,0.918333333,0.859333333,0.819333333,0.869,0.75,0.695333333,0.879,0.844,0.876666667,0.917666667
