dataset,earliness_factor,entropy_factor,ptsepsilon,accuracy,earliness
UWaveGestureLibraryX,0.8,0.0,0,0.7858738135120045,1.0
UWaveGestureLibraryZ,0.9,0.0,0,0.7085427135678392,1.0
NonInvasiveFatalECGThorax2,0.6,0.01,0,0.8783715012722646,0.11992691457271576
GunPoint,0.6,0.01,10,0.49333333333333335,0.016580233350396156
NonInvasiveFatalECGThorax2,0.7,0.1,0,0.8646310432569975,0.44344180822372437
UWaveGestureLibraryX,0.7,0.1,0,0.7227805695142379,0.5746649503707886
SyntheticControl,0.6,0.01,20,0.87,0.31288138031959534
CricketZ,0.7,0.1,10,0.7128205128205128,0.5207261443138123
Lightning2,0.7,0.01,5,0.5573770491803278,0.036839552223682404
OSULeaf,0.8,0.01,10,0.7231404958677686,1.0
ECG200,0.8,0.1,0,0.8,0.38840460777282715
Trace,0.8,0.1,0,0.71,0.4947821795940399
CricketZ,0.6,0.0,0,0.7692307692307693,0.43503448367118835
FacesUCR,0.9,0.01,10,0.8663414634146341,1.0
TwoPatterns,0.7,0.1,0,0.68625,0.6376082897186279
ChlorineConcentration,0.9,0.1,0,0.5609375,0.44958803057670593
Yoga,0.7,0.1,0,0.749,0.39296668767929077
ItalyPowerDemand,0.6,0.1,0,0.7240038872691934,0.4058959186077118
CricketZ,0.9,0.0,10,0.7461538461538462,1.0
Coffee,0.8,0.1,0,0.4642857142857143,0.0
ECGFiveDays,0.8,0.1,10,0.6957026713124274,0.5215862989425659
InlineSkate,0.6,0.01,10,0.18727272727272729,0.05234083905816078
OliveOil,0.6,0.01,20,0.4,0.0
FaceFour,0.6,0.1,0,0.4772727272727273,0.2027917057275772
DiatomSizeReduction,0.9,0.01,0,0.9575163398692811,0.5279785990715027
Wafer,0.6,0.0,0,0.8921155094094744,3.53858558810316e-05
FacesUCR,0.8,0.01,5,0.8317073170731707,1.0
Symbols,0.9,0.0,10,0.8854271356783919,0.9999999403953552
ECG200,0.7,0.0,10,0.81,0.2979440987110138
SonyAIBORobotSurface2,0.7,0.0,0,0.8132214060860441,0.22133071720600128
NonInvasiveFatalECGThorax2,0.6,0.01,10,0.8412213740458016,0.15990754961967468
CricketX,0.9,0.1,10,0.717948717948718,0.6762043237686157
OSULeaf,0.8,0.01,5,0.6694214876033058,0.9969831705093384
OSULeaf,0.9,0.01,10,0.6528925619834711,1.0
TwoLeadECG,0.6,0.0,0,0.7629499561018437,0.3235235810279846
UWaveGestureLibraryZ,0.6,0.01,5,0.6513121161362367,0.4973139464855194
FaceAll,0.7,0.0,0,0.8798816568047337,0.3377421796321869
Mallat,0.9,0.01,5,0.5974413646055438,1.0
WordSynonyms,0.6,0.0,0,0.12539184952978055,0.0
Beef,0.8,0.01,0,0.6333333333333333,1.0
SonyAIBORobotSurface1,0.6,0.01,10,0.762063227953411,0.32367655634880066
SonyAIBORobotSurface1,0.8,0.0,0,0.8552412645590682,0.21099160611629486
ChlorineConcentration,0.8,0.1,0,0.5557291666666667,0.3630949556827545
CBF,0.9,0.1,0,0.9355555555555556,1.0
Wafer,0.9,0.1,0,0.9823166774821545,0.45043063163757324
Beef,0.9,0.01,20,0.5333333333333333,1.0
ECG200,0.9,0.01,0,0.85,0.6457237005233765
UWaveGestureLibraryY,0.9,0.1,10,0.6337241764377443,0.6342961192131042
GunPoint,0.7,0.01,20,0.78,0.3942282199859619
Lightning7,0.8,0.0,0,0.5205479452054794,0.9999999403953552
Beef,0.7,0.01,10,0.5,0.30561479926109314
SwedishLeaf,0.8,0.0,0,0.8864,1.0
SwedishLeaf,0.6,0.1,0,0.816,0.4367856979370117
UWaveGestureLibraryY,0.6,0.1,0,0.5790061418202122,0.5152931213378906
UWaveGestureLibraryY,0.7,0.01,5,0.5887772194304858,0.4593595266342163
ECGFiveDays,0.6,0.01,20,0.570267131242741,0.2750508487224579
NonInvasiveFatalECGThorax1,0.7,0.01,5,0.7938931297709924,0.3122938275337219
Symbols,0.9,0.01,0,0.8502512562814071,0.6782238483428955
NonInvasiveFatalECGThorax2,0.6,0.01,0,0.8483460559796437,0.11552339792251587
Lightning2,0.8,0.01,5,0.6557377049180327,0.17324483394622803
Beef,0.7,0.1,0,0.6333333333333333,1.0
CinCECGTorso,0.8,0.01,0,0.7231884057971014,0.6039798259735107
Trace,0.6,0.01,20,0.67,0.23813870549201965
Wafer,0.7,0.01,5,0.9278066190785205,0.12813368439674377
TwoPatterns,0.9,0.1,0,0.84575,0.7719724774360657
ChlorineConcentration,0.8,0.01,5,0.5380208333333333,0.07625789940357208
UWaveGestureLibraryZ,0.6,0.01,0,0.6340033500837521,0.36623215675354004
StarLightCurves,0.9,0.0,0,0.9374696454589606,0.3314282298088074
FacesUCR,0.6,0.01,10,0.7268292682926829,0.3333579897880554
CinCECGTorso,0.9,0.01,0,0.7652173913043478,0.6903877258300781
ECGFiveDays,0.8,0.0,0,0.6666666666666666,0.4553110599517822
TwoLeadECG,0.8,0.01,10,0.7690956979806848,0.44398757815361023
SwedishLeaf,0.8,0.01,10,0.8496,0.5191024541854858
UWaveGestureLibraryY,0.9,0.0,0,0.6588498045784478,1.0
UWaveGestureLibraryY,0.9,0.01,10,0.6619207146845337,1.0
GunPoint,0.7,0.01,0,0.9333333333333333,0.42915648221969604
Haptics,0.9,0.1,0,0.4448051948051948,0.5824123620986938
FaceFour,0.7,0.0,10,0.7386363636363636,1.0
SyntheticControl,0.8,0.1,0,0.8933333333333333,0.46311792731285095
Lightning7,0.7,0.01,0,0.2602739726027397,0.0
NonInvasiveFatalECGThorax2,0.9,0.01,10,0.860559796437659,0.3138534426689148
NonInvasiveFatalECGThorax2,0.6,0.0,0,0.8366412213740458,0.11092634499073029
Yoga,0.8,0.1,0,0.7433333333333333,0.5064906477928162
CricketY,0.6,0.1,10,0.6897435897435897,0.4841807186603546
FaceAll,0.7,0.01,20,0.8461538461538461,0.28871190547943115
MoteStrain,0.8,0.01,20,0.8426517571884984,0.9999998807907104
NonInvasiveFatalECGThorax2,0.7,0.1,0,0.8783715012722646,0.42710793018341064
Lightning7,0.9,0.1,10,0.2602739726027397,0.0
SyntheticControl,0.7,0.0,0,0.8666666666666667,0.2839512825012207
ECGFiveDays,0.7,0.01,5,0.578397212543554,0.25209692120552063
TwoLeadECG,0.6,0.01,5,0.5891132572431957,0.04781581461429596
ChlorineConcentration,0.7,0.01,0,0.5421875,0.04209911450743675
CinCECGTorso,0.8,0.0,0,0.7398550724637681,1.0
CBF,0.8,0.1,10,0.6677777777777778,0.2936973571777344
ECG200,0.9,0.01,5,0.79,0.3773026466369629
GunPoint,0.8,0.01,5,0.88,0.5116115212440491
FaceFour,0.9,0.01,0,0.8522727272727273,1.0
UWaveGestureLibraryY,0.6,0.01,10,0.5764935790061418,0.4037802815437317
WordSynonyms,0.8,0.0,0,0.46394984326018807,1.0
TwoLeadECG,0.7,0.0,10,0.8323090430201932,0.3754213750362396
StarLightCurves,0.7,0.1,0,0.9278776104905294,0.2592710852622986
UWaveGestureLibraryZ,0.8,0.01,0,0.6934673366834171,1.0
UWaveGestureLibraryY,0.7,0.01,20,0.5731434952540481,0.4559461176395416
NonInvasiveFatalECGThorax1,0.9,0.01,10,0.838676844783715,0.37465253472328186
Trace,0.6,0.0,0,0.57,0.07955063879489899
Mallat,0.8,0.0,10,0.6818763326226013,1.0
OSULeaf,0.6,0.01,20,0.6074380165289256,0.4891391396522522
NonInvasiveFatalECGThorax1,0.7,0.01,0,0.8569974554707379,0.15454939007759094
Mallat,0.7,0.0,0,0.7317697228144989,1.0
SwedishLeaf,0.9,0.01,20,0.8352,0.5685988068580627
FacesUCR,0.9,0.1,0,0.8224390243902439,0.6438831090927124
CinCECGTorso,0.8,0.01,20,0.6333333333333333,0.6918068528175354
Coffee,0.8,0.1,0,0.4642857142857143,0.0
SyntheticControl,0.7,0.01,5,0.8966666666666666,0.32507944107055664
UWaveGestureLibraryZ,0.7,0.01,5,0.666108319374651,0.48398256301879883
Adiac,0.9,0.1,0,0.35805626598465473,0.6071016788482666
ChlorineConcentration,0.8,0.01,5,0.540625,0.04191919043660164
Fish,0.7,0.0,0,0.8,0.48133644461631775
GunPoint,0.9,0.01,20,0.8266666666666667,0.6357916593551636
ECG200,0.6,0.01,0,0.64,0.036266449838876724
DiatomSizeReduction,0.9,0.1,0,0.9607843137254902,0.5831314325332642
WordSynonyms,0.9,0.1,10,0.219435736677116,0.0
SwedishLeaf,0.9,0.01,10,0.8416,0.5709942579269409
UWaveGestureLibraryX,0.6,0.01,0,0.7350642099385818,0.4808206558227539
GunPoint,0.9,0.01,10,0.9666666666666667,0.5542671084403992
OliveOil,0.7,0.1,0,0.3,0.0
MoteStrain,0.6,0.01,5,0.46086261980830673,0.0
CricketY,0.8,0.01,20,0.717948717948718,0.6078461408615112
Haptics,0.9,0.1,0,0.4253246753246753,0.5997806191444397
ItalyPowerDemand,0.6,0.01,10,0.7308066083576288,0.3635704815387726
SonyAIBORobotSurface2,0.7,0.1,0,0.838405036726128,0.414369136095047
Fish,0.6,0.0,0,0.7428571428571429,0.3796258866786957
Symbols,0.6,0.0,0,0.7085427135678392,0.24672919511795044
SyntheticControl,0.8,0.1,10,0.8866666666666667,0.574505627155304
ECG200,0.7,0.01,20,0.78,0.21110199391841888
ItalyPowerDemand,0.7,0.1,10,0.7298347910592808,0.5068100094795227
Lightning2,0.6,0.01,20,0.5409836065573771,0.0016731389332562685
SonyAIBORobotSurface2,0.8,0.01,10,0.8153200419727177,0.30607420206069946
CricketX,0.9,0.01,5,0.6871794871794872,0.9975544214248657
